pair_index,mol_a_idx,mol_b_idx,input_line_a,input_line_b,input_smiles_a,input_smiles_b,smiles_a,smiles_b,atoms_a,bonds_a,atoms_b,bonds_b,nvmolkit_time_ms,rdkit_time_ms,nvmolkit_atoms,nvmolkit_bonds,rdkit_atoms,rdkit_bonds,rdkit_completed,nvmolkit_canceled,nvmolkit_overflowed,nvmolkit_used_gpu,nvmolkit_used_fallback
790,565,781,1184618,9990567,CCC(O)(CC)CNC(=O)C(=O)NC1=NC(COC)=CC=C1,COC(=O)C1=CC=C(NC(=O)C2CCN(C(=O)C3=CC=C(F)C=C3F)CC2)C2=CC=NC=C12,CCC(O)(CC)CNC(=O)C(=O)Nc1cccc(COC)n1,COC(=O)c1ccc(NC(=O)C2CCN(C(=O)c3ccc(F)cc3F)CC2)c2ccncc12,22,22,33,36,30.258408,1.075805,10,9,10,9,1,0,0,1,0
791,556,386,4622436,2507309,CCCC(=O)C1=CN(CC2CN(C(=O)C3=CN=CN=C3C3CC3)C2)N=N1,CCONC(=O)C1=CC2(CN(C(=O)C3CCCC(=O)CC3)C2)OC1,CCCC(=O)c1cn(CC2CN(C(=O)c3cncnc3C3CC3)C2)nn1,CCONC(=O)C1=CC2(CN(C(=O)C3CCCC(=O)CC3)C2)OC1,26,29,24,26,114.737854,3.510744,13,13,13,13,1,0,0,1,0
792,466,955,3997278,1594940,O=C(/C=C/C1=CC=CC=C1)C(=O)NC1=CC=CC2=C(C3CC3)C=CC=C12,O=C1NC2=CC=CC=C2N1CCCNC1(C2CCCOC2)CC1,O=C(/C=C/c1ccccc1)C(=O)Nc1cccc2c(C3CC3)cccc12,O=c1[nH]c2ccccc2n1CCCNC1(C2CCCOC2)CC1,26,29,23,26,20.958927,1.537502,12,11,12,11,1,0,0,1,0
793,329,890,2878372,302330,CC(C)C(=O)C1=CN=CC=C1NC(=O)COC1=CC=C(C#N)C=C1Cl,NC1=CN=C(Br)C=C1CN1CCC(C(O)CO)CC1,CC(C)C(=O)c1cnccc1NC(=O)COc1ccc(C#N)cc1Cl,Nc1cnc(Br)cc1CN1CCC(C(O)CO)CC1,25,26,19,20,19.889898,1.164149,10,9,10,9,1,0,0,1,0
794,193,714,2352518,7488944,COC(=O)C(C)(C)CCC1=NC(C2=NC3=CC(Br)=CC=C3O2)=NO1,CCC(C)C1=NC=CC(NC[C@H]2CCC[C@@H](NC(=O)CN3N=CC=C3C)C2)=N1,COC(=O)C(C)(C)CCc1nc(-c2nc3cc(Br)ccc3o2)no1,CCC(C)c1nccc(NC[C@H]2CCC[C@@H](NC(=O)Cn3nccc3C)C2)n1,24,26,28,30,17.478411,0.827443,13,13,13,13,1,0,0,1,0
795,244,585,5315419,3609064,CC1=CC(C)=C(C(=O)OCC(=O)NN(C2=CC=CC=C2)C2=CC=CC=C2)N1,CCCOCCC(=O)NC[C@@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C1=CN=CO1,Cc1cc(C)c(C(=O)OCC(=O)NN(c2ccccc2)c2ccccc2)[nH]1,CCCOCCC(=O)NC[C@@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cnco1,27,29,25,27,60.721512,3.608186,10,9,10,9,1,0,0,1,0
796,392,239,5671171,9025322,CC1(C)CC=C(C(=O)N[C@H]2C[C@@](C)(C(=O)N[C@H]3CCC[C@H]3N=[N+]=[N-])C2)CC1,NC1=NC(N2CCCC(NC(=O)/C=C/C3=CC=C4OCOC4=C3)C2)=NC(C2CC2)=N1,CC1(C)CC=C(C(=O)N[C@H]2C[C@@](C)(C(=O)N[C@H]3CCC[C@H]3N=[N+]=[N-])C2)CC1,Nc1nc(C2CC2)nc(N2CCCC(NC(=O)/C=C/c3ccc4c(c3)OCO4)C2)n1,27,29,30,34,170.952438,5.672921,16,15,16,15,1,0,0,1,0
797,876,794,10304745,6228162,CC[C@H](NC(=O)OC(C)(C)C)C(C1=NN=NN1C1=CC(C(=O)OC)=CC=C1)N(C)C1CCN(C)C1,CC1=CC=NC=C1S(=O)(=O)NCC(O)CCNC(=O)/C=C/C1=CN=CC=N1,CC[C@H](NC(=O)OC(C)(C)C)C(c1nnnn1-c1cccc(C(=O)OC)c1)N(C)C1CCN(C)C1,Cc1ccncc1S(=O)(=O)NCC(O)CCNC(=O)/C=C/c1cnccn1,35,37,27,28,8.072111,0.593662,7,6,7,6,1,0,0,1,0
798,420,44,8672863,7233874,CC1=CC=C(CN(CCC2=CC=C(F)C=C2C)CC2=CN(C)C(C#N)=C2)C(O)=C1,C#CCC(CC(F)F)C(=O)NC1(C2CCCN2C(=O)CC2=CC=C(C)O2)CC1,Cc1ccc(CN(CCc2ccc(F)cc2C)Cc2cc(C#N)n(C)c2)c(O)c1,C#CCC(CC(F)F)C(=O)NC1(C2CCCN2C(=O)Cc2ccc(C)o2)CC1,29,31,28,30,51.758976,2.654342,16,15,16,15,1,0,0,1,0
799,325,762,5684693,4031768,C=CCC1(C(=O)N[C@H]2CCCCC2(F)F)CN(C(=O)C[C@@H]2CC=CCC2)C1,CC(C)C1(CNC(=O)CNC(=O)C2=CC=C(S(N)(=O)=O)C=C2)OCCO1,C=CCC1(C(=O)N[C@H]2CCCCC2(F)F)CN(C(=O)C[C@@H]2CC=CCC2)C1,CC(C)C1(CNC(=O)CNC(=O)c2ccc(S(N)(=O)=O)cc2)OCCO1,27,29,26,27,16.893446,0.758002,10,9,10,9,1,0,0,1,0
800,484,722,2194018,5837062,CCOC(=O)[C@H]1C[C@@H]1C(=O)OCCN1C2=CC=C(Br)C=C2N=C1N,[N-]=[N+]=NCCCCC(=O)N[C@H](CC(=O)N1CCC(=C(F)F)CC1)CC1CC1,CCOC(=O)[C@H]1C[C@@H]1C(=O)OCCn1c(N)nc2cc(Br)ccc21,[N-]=[N+]=NCCCCC(=O)N[C@H](CC(=O)N1CCC(=C(F)F)CC1)CC1CC1,24,26,27,28,16.858023,0.984784,10,9,10,9,1,0,0,1,0
801,935,830,1579789,9121256,CC1=CC=C(F)C=C1CCCC(=O)OCCC#CC[Si](C)(C)C,CCC1=CN=CC(C(=O)N2CC(C(=O)O)(C3=CN(C[C@@H]4C[C@H]5CC[C@@H]4O5)N=N3)C2)=C1,Cc1ccc(F)cc1CCCC(=O)OCCC#CC[Si](C)(C)C,CCc1cncc(C(=O)N2CC(C(=O)O)(c3cn(C[C@@H]4C[C@H]5CC[C@@H]4O5)nn3)C2)c1,23,23,30,34,24.797306,0.940570,8,7,8,7,1,0,0,1,0
